Gene,Annotation,Ordered locus name,Swiss-Prot Entry name,AC ,EcoGene accession number,Length ,Gene name and synonyms,b_num,jw_num
fepE,Ferric enterobactin transport protein FepE,b0587; JW0579,FEPE_ECOLI,P26266,EG10297,377,fepE,b0587, JW0579
lacZ,Beta-galactosidase,b0344; JW0335,BGAL_ECOLI,P00722,EG10527,1024,lacZ,b0344, JW0335
alkA,DNA-3-methyladenine glycosylase 2,b2068; JW2053,3MG2_ECOLI,P04395,EG11222,282,alkA; aidA,b2068, JW2053
rtcA,RNA 3'-terminal phosphate cyclase,b4475; JW5688,RTCA_ECOLI,P46849,EG12938,338,rtcA; yhgJ; yhgK,b4475, JW5688
phnP,"Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase",b4092; JW4053,PHNP_ECOLI,P16692,EG10725,252,phnP,b4092, JW4053
ebgC,Evolved beta-galactosidase subunit beta,b3077; JW3048,EBGC_ECOLI,P0AC73,EG10253,149,ebgC,b3077, JW3048
tmcA,tRNA(Met) cytidine acetyltransferase TmcA,b2474; JW2459,TMCA_ECOLI,P76562,EG14196,671,tmcA; ypfI,b2474, JW2459
yjjV,putative metal-dependent hydrolase YjjV,b4378; JW4341,YJJV_ECOLI,P39408,EG12598,259,yjjV,b4378, JW4341
hypC,Hydrogenase maturation factor HypC,b2728; JW2698,HYPC_ECOLI,P0AAM3,EG10485,90,hypC,b2728, JW2698
rpmD,50S ribosomal protein L30,b3302; JW3264,RL30_ECOLI,P0AG51,EG10888,59,rpmD,b3302, JW3264
rnc,Ribonuclease 3,b2567; JW2551,RNC_ECOLI,P0A7Y0,EG10857,226,rnc,b2567, JW2551
hpf,Ribosome hibernation promoting factor,b3203; JW3170,HPF_ECOLI,P0AFX0,EG11681,95,hpf; yhbH,b3203, JW3170
rpsJ,30S ribosomal protein S10,b3321; JW3283,RS10_ECOLI,P0A7R5,EG10909,103,rpsJ; nusE,b3321, JW3283
fur,Ferric uptake regulation protein,b0683; JW0669,FUR_ECOLI,P0A9A9,EG10359,148,fur,b0683, JW0669
ccmD,Heme exporter protein D,b2198; JW2186,CCMD_ECOLI,P0ABM5,EG12169,69,ccmD; yojM,b2198, JW2186
rpmH,50S ribosomal protein L34,b3703; JW3680,RL34_ECOLI,P0A7P5,EG10892,46,rpmH; rimA; ssaF,b3703, JW3680
nrdR,Transcriptional repressor NrdR,b0413; JW0403,NRDR_ECOLI,P0A8D0,EG11320,149,nrdR; ybaD,b0413, JW0403
rplD,50S ribosomal protein L4,b3319; JW3281,RL4_ECOLI,P60723,EG10867,201,rplD; eryA,b3319, JW3281
rng,Ribonuclease G,b3247; JW3216,RNG_ECOLI,P0A9J0,EG11299,489,rng; cafA; yhdF,b3247, JW3216
yhbY,RNA-binding protein YhbY,b3180; JW3147,YHBY_ECOLI,P0AGK4,EG12794,97,yhbY,b3180, JW3147
cspA,Cold shock protein CspA,b3556; JW3525,CSPA_ECOLI,P0A9X9,EG10166,70,cspA; cspS,b3556, JW3525
uspA,Universal stress protein A,b3495; JW3462,USPA_ECOLI,P0AED0,EG11390,144,uspA,b3495, JW3462
rpsS,30S ribosomal protein S19,b3316; JW3278,RS19_ECOLI,P0A7U3,EG10918,92,rpsS,b3316, JW3278
rpmE,50S ribosomal protein L31,b3936; JW3907,RL31_ECOLI,P0A7M9,EG10889,70,rpmE,b3936, JW3907
rpoZ,DNA-directed RNA polymerase subunit omega,b3649; JW3624,RPOZ_ECOLI,P0A800,EG10899,91,rpoZ,b3649, JW3624
rraA,Regulator of ribonuclease activity A,b3929; JW3900,RRAA_ECOLI,P0A8R0,EG11879,161,rraA; menG; yiiV,b3929, JW3900
nuoK,NADH-quinone oxidoreductase subunit K,b2279; JW2274,NUOK_ECOLI,P0AFE4,EG12091,100,nuoK,b2279, JW2274
grxD,Glutaredoxin 4,b1654; JW1646,GLRX4_ECOLI,P0AC69,EG12181,115,grxD; ydhD,b1654, JW1646
rpmC,50S ribosomal protein L29,b3312; JW3274,RL29_ECOLI,P0A7M6,EG10887,63,rpmC,b3312, JW3274
metK,S-adenosylmethionine synthase,b2942; JW2909,METK_ECOLI,P0A817,EG10589,384,metK; metX,b2942, JW2909
rplF,50S ribosomal protein L6,b3305; JW3267,RL6_ECOLI,P0AG55,EG10869,177,rplF,b3305, JW3267
rplU,50S ribosomal protein L21,b3186; JW3153,RL21_ECOLI,P0AG48,EG50001,103,rplU,b3186, JW3153
fadR,Fatty acid metabolism regulator protein,b1187; JW1176,FADR_ECOLI,P0A8V6,EG10281,239,fadR; oleR; thdB,b1187, JW1176
ftsZ,Cell division protein FtsZ,b0095; JW0093,FTSZ_ECOLI,P0A9A6,EG10347,383,ftsZ; sfiB; sulB,b0095, JW0093
csrA,Carbon storage regulator,b2696; JW2666,CSRA_ECOLI,P69913,EG11447,61,csrA; zfiA,b2696, JW2666
fkpB,FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase,b0028; JW0026,FKBX_ECOLI,P0AEM0,EG11080,149,fkpB; slpA; yaaD,b0028, JW0026
minE,Cell division topological specificity factor,b1174; JW1163,MINE_ECOLI,P0A734,EG10598,88,minE,b1174, JW1163
yfcD,putative Nudix hydrolase YfcD,b2299; JW2296,YFCD_ECOLI,P65556,EG14107,180,yfcD,b2299, JW2296
secY,Protein translocase subunit SecY,b3300; JW3262,SECY_ECOLI,P0AGA2,EG10766,443,secY; prlA,b3300, JW3262
ynhF,putative protein YnhF,b4602; JW1649.1,YNHF_ECOLI,A5A618,EG14016,29,ynhF,b4602, JW1649.1
rplP,50S ribosomal protein L16,b3313; JW3275,RL16_ECOLI,P0ADY7,EG10877,136,rplP,b3313, JW3275
rpsA,30S ribosomal protein S1,b0911; JW0894,RS1_ECOLI,P0AG67,EG10900,557,rpsA; ssyF,b0911, JW0894
hupB,DNA-binding protein HU-beta,b0440; JW0430,DBHB_ECOLI,P0ACF4,EG10467,90,hupB; hopD,b0440, JW0430
rppH,RNA pyrophosphohydrolase,b2830; JW2798,RPPH_ECOLI,P0A776,EG13091,176,rppH; nudH; ygdP,b2830, JW2798
rplK,50S ribosomal protein L11,b3983; JW3946,RL11_ECOLI,P0A7J7,EG10872,142,rplK; relC,b3983, JW3946
mntS,Small protein MntS,b4705; JW0800.1,MNTS_ECOLI,P0DKB3,EG14500,42,mntS; rybA,b4705, JW0800.1
